Time (s),Li-Ion Voltage (mV),LiPo Voltage (mV)
48900,3373.55,
48960,3370.0333333333333,
49020,3363.65,
49080,3358.2833333333333,
49140,3355.6,
49200,3347.65,
49260,3342.0666666666666,
49320,3335.55,
49380,3326.766666666667,
49440,3322.4166666666665,
49500,3314.15,
49560,3306.6,
49620,3298.866666666667,
49680,3290.5333333333333,
49740,3285.266666666667,
49800,3275.5833333333335,
49860,3267.9166666666665,
49920,3260.266666666667,
49980,3252.2833333333333,
50040,3240.9166666666665,
50100,3233.3,
50160,3224.1,
50220,3214.0833333333335,
50280,3203.15,
50340,3194.25,
50400,3181.383333333333,
50460,3171.2833333333333,
50520,3155.45,
50580,3145.5666666666666,
50640,3131.5333333333333,
50700,3118.516666666667,
50760,3102.616666666667,
50820,3086.516666666667,
50880,3073.7,
50940,3053.5666666666666,
51000,3034.0833333333335,
51060,2900.433962264151,
